Data da Extração,Número,Órgão Padronizado,Lista_Materias
2025-12-24,4923709-91.2020.4.01.3516,TERCEIRA SEÇÃO,2.1.6
2026-01-01,6817035-77.2020.4.01.3662,SEXTA TURMA,1.2.1
2026-01-16,2048650-30.2020.4.01.3092,QUARTA TURMA,1.2.1
2026-01-02,6334051-50.2020.4.01.3339,TERCEIRA SEÇÃO,1.5.5
2026-01-02,6334051-50.2020.4.01.3339,TERCEIRA SEÇÃO,2.2.5
2026-01-14,4743080-27.2020.4.01.3042,SEGUNDA SEÇÃO,1.4.4
2026-01-14,4743080-27.2020.4.01.3042,SEGUNDA SEÇÃO,2.4.5
2026-01-10,6361339-71.2023.4.01.3535,CORTE ESPECIAL,1.5.7
2026-01-27,9224331-34.2020.4.01.3716,SEGUNDA SEÇÃO,1.2.2
2025-12-10,5557792-18.2020.4.01.3528,QUARTA TURMA,1.5.1
2026-01-03,7223399-51.2024.4.01.3386,SEGUNDA TURMA,1.3.3
2026-01-04,4517243-91.2024.4.01.3774,PRIMEIRA TURMA,1.3.7
2026-01-04,4517243-91.2024.4.01.3774,PRIMEIRA TURMA,2.4.2
2026-01-22,5040746-11.2025.4.01.3347,QUINTA TURMA,1.2.1
2025-12-31,7164660-18.2024.4.01.3731,TERCEIRA TURMA,1.3.3
2025-12-19,2899142-65.2022.4.01.3583,PRIMEIRA TURMA,1.5.2
2025-12-19,2899142-65.2022.4.01.3583,PRIMEIRA TURMA,2.1.2
2026-01-13,6663867-33.2021.4.01.3616,TERCEIRA TURMA,1.4.2
2025-12-01,6133845-65.2024.4.01.3846,PRIMEIRA SEÇÃO,1.3.8
2025-12-01,6133845-65.2024.4.01.3846,PRIMEIRA SEÇÃO,2.1.8
2026-01-23,7402795-52.2023.4.01.3324,CORTE ESPECIAL,1.5.8
2025-12-17,9108404-42.2024.4.01.3827,SEGUNDA SEÇÃO,1.1.7
2025-12-11,9121632-28.2020.4.01.3910,CORTE ESPECIAL,1.4.7
2025-12-11,9121632-28.2020.4.01.3910,CORTE ESPECIAL,2.2.1
2025-12-10,8333534-91.2022.4.01.3804,QUARTA TURMA,1.4.4
2025-12-10,8333534-91.2022.4.01.3804,QUARTA TURMA,2.3.1
2025-12-17,8350578-11.2020.4.01.3916,PRIMEIRA TURMA,1.5.8
2025-12-01,9602043-24.2024.4.01.3291,TERCEIRA SEÇÃO,1.3.4
2025-12-20,4797463-75.2024.4.01.3985,CORTE ESPECIAL,1.1.5
2025-12-31,9842492-70.2021.4.01.3651,PRIMEIRA SEÇÃO,1.2.8
2025-12-31,9842492-70.2021.4.01.3651,PRIMEIRA SEÇÃO,2.4.4
2025-12-28,2416633-78.2022.4.01.3713,SEGUNDA TURMA,1.5.3
2026-01-04,6281015-21.2020.4.01.3527,CORTE ESPECIAL,1.4.9
2026-01-14,8607894-96.2022.4.01.3631,SEGUNDA TURMA,1.5.8
2026-01-14,8607894-96.2022.4.01.3631,SEGUNDA TURMA,2.5.1
2025-12-05,3091646-87.2020.4.01.3394,QUINTA TURMA,1.1.5
2025-12-05,3091646-87.2020.4.01.3394,QUINTA TURMA,2.5.3
2026-01-23,1755495-76.2022.4.01.3429,SEGUNDA TURMA,1.3.5
2025-12-17,5269236-33.2025.4.01.3420,Não Informado,1.2.7
2025-12-19,2777127-17.2021.4.01.3542,SEGUNDA TURMA,1.1.2
2025-12-19,5596681-19.2021.4.01.3327,CORTE ESPECIAL,1.1.2
2025-12-03,7639445-91.2023.4.01.3219,TERCEIRA TURMA,1.5.9
2025-12-20,2396536-65.2022.4.01.3225,PRIMEIRA SEÇÃO,1.4.7
2025-12-20,2396536-65.2022.4.01.3225,PRIMEIRA SEÇÃO,2.4.7
2025-12-18,1727884-81.2020.4.01.3868,TERCEIRA SEÇÃO,1.4.4
2025-12-10,6265842-47.2025.4.01.3361,CORTE ESPECIAL,1.1.1
2026-01-18,5231473-64.2021.4.01.3835,CORTE ESPECIAL,1.2.7
2026-01-25,4160618-89.2020.4.01.3483,SEGUNDA TURMA,1.1.6
2025-12-12,8570125-73.2021.4.01.3274,TERCEIRA SEÇÃO,1.1.2
2025-12-12,8570125-73.2021.4.01.3274,TERCEIRA SEÇÃO,2.5.7
2026-01-08,7837868-94.2023.4.01.3449,TERCEIRA TURMA,1.4.3
2026-01-08,7837868-94.2023.4.01.3449,TERCEIRA TURMA,2.2.7
2026-01-20,1476380-65.2022.4.01.3064,PRIMEIRA SEÇÃO,1.2.5
2025-12-21,8557424-43.2021.4.01.3103,PRIMEIRA SEÇÃO,1.1.5
2025-12-21,8557424-43.2021.4.01.3103,PRIMEIRA SEÇÃO,2.4.5
2025-12-12,2861949-80.2024.4.01.3887,QUARTA TURMA,1.4.9
2025-12-09,7652786-67.2024.4.01.3919,SEGUNDA SEÇÃO,1.2.8
2026-01-12,8492033-92.2024.4.01.3344,CORTE ESPECIAL,1.3.5
2026-01-12,8492033-92.2024.4.01.3344,CORTE ESPECIAL,2.2.5
2026-01-27,4545461-63.2024.4.01.3426,QUINTA TURMA,1.3.4
2026-01-27,4545461-63.2024.4.01.3426,QUINTA TURMA,2.5.4
2025-12-26,8004593-49.2020.4.01.3142,SEGUNDA TURMA,1.3.2
2026-01-27,1000654-71.2022.4.01.3749,PRIMEIRA TURMA,1.4.4
2026-01-27,1000654-71.2022.4.01.3749,PRIMEIRA TURMA,2.2.2
2026-01-24,1049323-31.2025.4.01.3455,QUINTA TURMA,1.3.1
2026-01-24,1049323-31.2025.4.01.3455,QUINTA TURMA,2.3.7
2025-12-09,4069484-86.2024.4.01.3725,PRIMEIRA TURMA,1.2.8
2025-12-09,4382747-51.2020.4.01.3715,CORTE ESPECIAL,1.5.6
2026-01-05,7727993-15.2024.4.01.3850,SEXTA TURMA,1.1.4
2026-01-05,1975886-18.2025.4.01.3332,SEXTA TURMA,1.2.2
2026-01-05,1975886-18.2025.4.01.3332,SEXTA TURMA,2.2.6
2025-12-27,8638585-32.2023.4.01.3613,QUARTA TURMA,1.5.1
2026-01-26,8888717-13.2021.4.01.3484,CORTE ESPECIAL,1.3.5
2026-01-26,4754445-80.2025.4.01.3895,PRIMEIRA TURMA,1.2.2
2025-12-29,6920673-91.2020.4.01.3702,SEGUNDA TURMA,1.1.2
2026-01-06,9061538-97.2025.4.01.3050,TERCEIRA TURMA,1.2.7
2026-01-10,8595965-55.2023.4.01.3189,CORTE ESPECIAL,1.2.8
2025-12-06,2603120-99.2024.4.01.3733,SEGUNDA TURMA,1.1.3
2026-01-12,2724264-45.2020.4.01.3420,PRIMEIRA SEÇÃO,1.1.8
2026-01-12,2724264-45.2020.4.01.3420,PRIMEIRA SEÇÃO,2.4.9
2025-12-04,5425988-42.2020.4.01.3914,SEXTA TURMA,1.4.6
2025-12-20,7437139-98.2025.4.01.3918,PRIMEIRA TURMA,1.1.1
2025-12-04,8215475-47.2022.4.01.3939,QUARTA TURMA,1.3.4
2025-12-13,2821641-32.2021.4.01.3011,CORTE ESPECIAL,1.4.1
2025-12-26,8890386-27.2021.4.01.3700,PRIMEIRA SEÇÃO,1.2.4
2026-01-04,6908539-52.2021.4.01.3707,TERCEIRA SEÇÃO,1.1.2
2026-01-04,6908539-52.2021.4.01.3707,TERCEIRA SEÇÃO,2.1.9
2025-12-15,8832879-48.2021.4.01.3013,PRIMEIRA TURMA,1.2.3
2026-01-12,8543801-85.2021.4.01.3797,PRIMEIRA TURMA,1.1.3
2025-12-21,1373052-81.2025.4.01.3811,PRIMEIRA SEÇÃO,1.4.5
2026-01-24,5797280-35.2022.4.01.3524,PRIMEIRA TURMA,1.1.8
2026-01-05,7231235-49.2025.4.01.3960,SEGUNDA SEÇÃO,1.3.2
2026-01-05,7231235-49.2025.4.01.3960,SEGUNDA SEÇÃO,2.4.9
2025-12-09,4567067-43.2023.4.01.3173,CORTE ESPECIAL,1.4.5
2025-12-11,7894786-84.2023.4.01.3349,PRIMEIRA SEÇÃO,1.2.6
2025-12-21,2892952-24.2022.4.01.3585,SEGUNDA TURMA,1.4.9
2025-12-31,6180689-54.2025.4.01.3057,SEGUNDA TURMA,1.2.8
2025-12-25,6062564-83.2023.4.01.3162,SEGUNDA TURMA,1.4.8
2026-01-09,3397919-87.2020.4.01.3652,PRIMEIRA TURMA,1.4.6
2026-01-13,1323873-32.2025.4.01.3978,QUARTA TURMA,1.5.3
2025-12-04,8833748-50.2022.4.01.3208,SEXTA TURMA,1.2.3
2025-12-04,8833748-50.2022.4.01.3208,SEXTA TURMA,2.5.6
2025-12-18,1838048-69.2021.4.01.3268,QUARTA TURMA,1.2.3
2026-01-22,7318614-31.2023.4.01.3199, ,1.4.8
2026-01-22,7318614-31.2023.4.01.3199, ,2.1.1
2025-12-30,9772870-75.2022.4.01.3756,SEGUNDA TURMA,1.4.6
2025-12-09,9929094-17.2022.4.01.3544,QUINTA TURMA,1.1.6
2026-01-26,1879040-38.2023.4.01.3734,PRIMEIRA TURMA,1.4.4
2026-01-26,1879040-38.2023.4.01.3734,PRIMEIRA TURMA,2.4.9
2026-01-05,6940809-93.2025.4.01.3290,TERCEIRA TURMA,1.5.7
2026-01-05,6940809-93.2025.4.01.3290,TERCEIRA TURMA,2.4.7
2026-01-05,8934589-37.2020.4.01.3780,SEXTA TURMA,1.1.6
2026-01-05,8222217-18.2024.4.01.3125,SEGUNDA TURMA,1.4.2
2026-01-05,8222217-18.2024.4.01.3125,SEGUNDA TURMA,2.2.3
2025-12-10,4442143-90.2020.4.01.3728,QUINTA TURMA,1.5.6
2025-12-10,4442143-90.2020.4.01.3728,QUINTA TURMA,2.5.3
2025-12-22,9081184-25.2020.4.01.3338,SEGUNDA TURMA,1.3.1
2025-12-18,7790739-38.2025.4.01.3611,SEGUNDA TURMA,1.2.4
2025-12-07,9528279-63.2020.4.01.3932,PRIMEIRA TURMA,1.4.2
2025-12-26,4256237-59.2023.4.01.3907,SEGUNDA SEÇÃO,1.1.3
2025-12-26,4256237-59.2023.4.01.3907,SEGUNDA SEÇÃO,2.2.2
2026-01-12,3777932-35.2024.4.01.3900,QUINTA TURMA,1.1.9
2025-12-04,7220936-18.2024.4.01.3773,QUARTA TURMA,1.2.1
2025-12-01,5982231-73.2021.4.01.3346,QUINTA TURMA,1.2.9
2025-12-01,1491022-61.2021.4.01.3596,QUARTA TURMA,1.1.8
2025-12-01,1491022-61.2021.4.01.3596,QUARTA TURMA,2.3.9
2026-01-14,3021461-43.2020.4.01.3953,CORTE ESPECIAL,1.5.6
2026-01-14,3021461-43.2020.4.01.3953,CORTE ESPECIAL,2.4.8
2025-12-12,7811598-79.2024.4.01.3406,Não Informado,1.2.4
2025-12-12,7811598-79.2024.4.01.3406,Não Informado,2.1.6
2025-12-28,5707896-23.2023.4.01.3086,TERCEIRA SEÇÃO,1.3.9
2025-12-28,5707896-23.2023.4.01.3086,TERCEIRA SEÇÃO,2.2.6
2026-01-25,5688176-84.2022.4.01.3593,PRIMEIRA SEÇÃO,1.3.6
2026-01-25,5688176-84.2022.4.01.3593,PRIMEIRA SEÇÃO,2.2.4
2025-12-04,1335704-42.2020.4.01.3316,SEGUNDA TURMA,1.5.8
2025-12-17,1759816-87.2025.4.01.3728, ,1.5.4
2026-01-01,1120442-24.2021.4.01.3629,PRIMEIRA SEÇÃO,1.2.7
2025-12-21,2461045-86.2020.4.01.3563,QUARTA TURMA,1.1.3
2025-12-21,2461045-86.2020.4.01.3563,QUARTA TURMA,2.1.9
2026-01-26,1205833-87.2022.4.01.3199,QUINTA TURMA,1.2.9
2026-01-07,1924150-83.2021.4.01.3493,QUARTA TURMA,1.4.1
2026-01-12,2167002-93.2025.4.01.3741,SEXTA TURMA,1.2.7
2025-12-11,3682113-61.2024.4.01.3704,PRIMEIRA SEÇÃO,1.1.9
2026-01-21,3731820-34.2025.4.01.3562,CORTE ESPECIAL,1.3.4
2025-11-30,9934800-88.2020.4.01.3807, ,1.1.1
2025-12-26,6919153-25.2021.4.01.3102,PRIMEIRA SEÇÃO,1.4.3
2025-12-10,9860902-64.2020.4.01.3630,QUARTA TURMA,1.4.2
2025-12-30,3484187-44.2022.4.01.3710,QUINTA TURMA,1.2.3
2026-01-09,5841587-49.2022.4.01.3825,PRIMEIRA SEÇÃO,1.1.8
2025-12-23,4731157-51.2022.4.01.3788,TERCEIRA TURMA,1.4.4
2025-12-21,3798745-42.2023.4.01.3499,QUARTA TURMA,1.1.1
2026-01-23,8558355-37.2023.4.01.3661,TERCEIRA SEÇÃO,1.1.3
2026-01-23,8558355-37.2023.4.01.3661,TERCEIRA SEÇÃO,2.2.2
2026-01-12,9549781-34.2022.4.01.3902,PRIMEIRA TURMA,1.2.7
2026-01-12,9549781-34.2022.4.01.3902,PRIMEIRA TURMA,2.3.9
2026-01-02,9349282-24.2022.4.01.3499,CORTE ESPECIAL,1.3.8
2026-01-15,1649042-91.2022.4.01.3333,TERCEIRA TURMA,1.1.8
2026-01-15,1649042-91.2022.4.01.3333,TERCEIRA TURMA,2.2.8
2025-12-24,3441601-78.2023.4.01.3796,SEGUNDA TURMA,1.5.8
2025-11-29,3010236-74.2025.4.01.3137,QUINTA TURMA,1.5.5
2025-12-15,1150177-99.2025.4.01.3614,PRIMEIRA SEÇÃO,1.3.3
2025-12-15,1150177-99.2025.4.01.3614,PRIMEIRA SEÇÃO,2.2.4
2026-01-03,7295325-92.2024.4.01.3662,TERCEIRA TURMA,1.5.2
2026-01-03,7295325-92.2024.4.01.3662,TERCEIRA TURMA,2.4.9
2025-11-30,1713941-56.2024.4.01.3845,QUINTA TURMA,1.1.1
2025-11-30,1713941-56.2024.4.01.3845,QUINTA TURMA,2.3.6
2025-12-07,1259497-38.2024.4.01.3814,QUARTA TURMA,1.1.4
2025-12-30,2715453-16.2020.4.01.3469,SEGUNDA SEÇÃO,1.2.4
2025-12-30,2715453-16.2020.4.01.3469,SEGUNDA SEÇÃO,2.4.2
2025-12-25,4674010-68.2025.4.01.3541,TERCEIRA TURMA,1.4.1
2025-12-06,5617790-32.2022.4.01.3157,PRIMEIRA SEÇÃO,1.1.5
2025-12-06,5617790-32.2022.4.01.3157,PRIMEIRA SEÇÃO,2.3.1
2026-01-14,9903392-94.2023.4.01.3028,SEGUNDA SEÇÃO,1.4.8
2026-01-17,8723547-33.2025.4.01.3547,PRIMEIRA SEÇÃO,1.2.4
2026-01-26,9773392-17.2020.4.01.3775,PRIMEIRA TURMA,1.4.7
2026-01-26,9773392-17.2020.4.01.3775,PRIMEIRA TURMA,2.3.6
2025-12-17,5693773-70.2022.4.01.3400,SEGUNDA TURMA,1.2.4
2025-12-17,5693773-70.2022.4.01.3400,SEGUNDA TURMA,2.1.1
2025-12-13,6427248-41.2022.4.01.3535,QUARTA TURMA,1.5.3
2025-12-03,1479632-30.2022.4.01.3618,TERCEIRA SEÇÃO,1.4.8
2025-12-03,1479632-30.2022.4.01.3618,TERCEIRA SEÇÃO,2.1.6
2025-12-05,6526813-17.2020.4.01.3321,SEGUNDA SEÇÃO,1.3.1
2026-01-26,9210023-61.2020.4.01.3862,TERCEIRA SEÇÃO,1.3.3
2026-01-26,9210023-61.2020.4.01.3862,TERCEIRA SEÇÃO,2.5.8
2026-01-06,9277914-84.2021.4.01.3249,SEGUNDA TURMA,1.3.2
2026-01-24,2455265-66.2021.4.01.3090,CORTE ESPECIAL,1.1.4
2026-01-24,2455265-66.2021.4.01.3090,CORTE ESPECIAL,2.3.1
2025-12-21,2794378-27.2021.4.01.3268,TERCEIRA SEÇÃO,1.5.7
2025-12-05,9772754-81.2021.4.01.3516,QUARTA TURMA,1.5.8
2025-12-05,9772754-81.2021.4.01.3516,QUARTA TURMA,2.3.6
2026-01-16,4775665-67.2023.4.01.3444,PRIMEIRA SEÇÃO,1.5.2
2025-12-12,4676904-14.2024.4.01.3861,SEXTA TURMA,1.5.3
2025-12-12,4676904-14.2024.4.01.3861,SEXTA TURMA,2.1.9
2026-01-09,1499886-91.2025.4.01.3717,Não Informado,1.4.5
2025-11-29,7163038-64.2022.4.01.3903,TERCEIRA SEÇÃO,1.5.2
2025-11-29,7163038-64.2022.4.01.3903,TERCEIRA SEÇÃO,2.5.9
2025-12-04,8053530-64.2022.4.01.3043,TERCEIRA SEÇÃO,1.5.1
2025-12-09,7508550-63.2023.4.01.3300,SEGUNDA TURMA,1.3.4
2025-12-21,5600186-17.2021.4.01.3295,TERCEIRA SEÇÃO,1.2.7
2026-01-17,5583808-72.2021.4.01.3267,PRIMEIRA TURMA,1.5.7
2026-01-03,9790416-35.2023.4.01.3662,SEGUNDA SEÇÃO,1.2.9
2026-01-03,9790416-35.2023.4.01.3662,SEGUNDA SEÇÃO,2.3.1
2025-12-24,1193845-11.2025.4.01.3398,CORTE ESPECIAL,1.2.8
2026-01-27,4001996-11.2025.4.01.3469,SEGUNDA TURMA,1.3.9
2026-01-27,4001996-11.2025.4.01.3469,SEGUNDA TURMA,2.4.2
2026-01-11,3202087-18.2023.4.01.3295,QUARTA TURMA,1.2.5
2026-01-11,3202087-18.2023.4.01.3295,QUARTA TURMA,2.1.2
2025-12-10,5900703-51.2024.4.01.3867,TERCEIRA TURMA,1.2.8
2025-12-10,5900703-51.2024.4.01.3867,TERCEIRA TURMA,2.5.5
2025-12-03,7174736-32.2023.4.01.3321,TERCEIRA TURMA,1.5.6
2026-01-23,2752983-69.2021.4.01.3085,CORTE ESPECIAL,1.1.4
2026-01-23,2752983-69.2021.4.01.3085,CORTE ESPECIAL,2.1.9
2026-01-07,7020876-85.2021.4.01.3666,SEGUNDA SEÇÃO,1.2.2
2026-01-25,5587198-20.2024.4.01.3584,CORTE ESPECIAL,1.4.6
2025-12-14,3384448-64.2020.4.01.3609,SEGUNDA SEÇÃO,1.5.4
2026-01-08,9720991-48.2023.4.01.3143,SEXTA TURMA,1.4.9
2026-01-07,6891696-82.2025.4.01.3085,TERCEIRA TURMA,1.5.4
2026-01-07,6891696-82.2025.4.01.3085,TERCEIRA TURMA,2.1.4
2026-01-17,4413233-19.2021.4.01.3659,TERCEIRA TURMA,1.4.4
2026-01-17,4413233-19.2021.4.01.3659,TERCEIRA TURMA,2.3.1
2026-01-02,4967448-94.2020.4.01.3489,QUINTA TURMA,1.2.5
2025-12-12,9238636-75.2021.4.01.3450,CORTE ESPECIAL,1.1.4
2025-12-12,9177076-16.2021.4.01.3049,QUINTA TURMA,1.2.5
2025-11-30,9298514-90.2023.4.01.3683,QUINTA TURMA,1.5.4
2025-12-28,5575655-72.2022.4.01.3370,QUARTA TURMA,1.3.6
2026-01-15,1608762-86.2025.4.01.3845,QUARTA TURMA,1.4.5
2026-01-15,1608762-86.2025.4.01.3845,QUARTA TURMA,2.1.3
2026-01-20,4903815-29.2024.4.01.3608,QUARTA TURMA,1.5.6
2026-01-04,2341473-25.2025.4.01.3767,QUINTA TURMA,1.2.4
2025-12-04,6783525-50.2023.4.01.3951,PRIMEIRA SEÇÃO,1.2.6
2025-12-25,7856345-96.2021.4.01.3789,TERCEIRA TURMA,1.1.8
2025-12-10,2696563-90.2023.4.01.3917,PRIMEIRA TURMA,1.2.9
2025-12-10,2696563-90.2023.4.01.3917,PRIMEIRA TURMA,2.1.6
2026-01-20,3451792-28.2024.4.01.3380,PRIMEIRA TURMA,1.3.2
2025-12-16,8539078-16.2022.4.01.3327,PRIMEIRA SEÇÃO,1.5.4
2026-01-17,1946482-99.2020.4.01.3711,PRIMEIRA SEÇÃO,1.5.8
2026-01-17,1946482-99.2020.4.01.3711,PRIMEIRA SEÇÃO,2.1.5
2026-01-03,6259858-58.2024.4.01.3082,TERCEIRA SEÇÃO,1.5.3
2025-12-02,3410919-67.2023.4.01.3872,TERCEIRA SEÇÃO,1.5.5
2025-12-02,3410919-67.2023.4.01.3872,TERCEIRA SEÇÃO,2.1.5
2025-12-27,8256311-89.2023.4.01.3185,QUINTA TURMA,1.4.3
2025-12-13,2772512-23.2020.4.01.3571,SEXTA TURMA,1.5.2
2025-12-13,2772512-23.2020.4.01.3571,SEXTA TURMA,2.4.9
2025-12-18,3563092-43.2025.4.01.3719,QUINTA TURMA,1.1.8
2025-12-13,7193304-66.2023.4.01.3954,PRIMEIRA TURMA,1.5.7
2026-01-04,9504687-71.2020.4.01.3243,SEGUNDA SEÇÃO,1.4.2
2026-01-04,9504687-71.2020.4.01.3243,SEGUNDA SEÇÃO,2.4.5
2026-01-09,3224633-21.2020.4.01.3808,QUARTA TURMA,1.1.1
2026-01-09,3224633-21.2020.4.01.3808,QUARTA TURMA,2.5.2
2025-12-05,6189337-30.2024.4.01.3174,QUINTA TURMA,1.4.3
2025-12-05,6189337-30.2024.4.01.3174,QUINTA TURMA,2.2.8
2025-12-19,1882083-87.2021.4.01.3844,SEGUNDA TURMA,1.5.5
2026-01-21,6273516-32.2022.4.01.3294,TERCEIRA TURMA,1.5.4
2025-12-12,9428953-32.2023.4.01.3391,SEXTA TURMA,1.2.3
2025-11-30,8310343-16.2025.4.01.3950,SEXTA TURMA,1.1.8
2025-12-17,8422384-65.2024.4.01.3247,SEGUNDA TURMA,1.2.7
2025-12-17,8422384-65.2024.4.01.3247,SEGUNDA TURMA,2.1.1
2026-01-13,6706869-90.2023.4.01.3292,QUINTA TURMA,1.5.6
2025-12-12,1611702-40.2022.4.01.3556,PRIMEIRA TURMA,1.1.2
2025-12-01,9132928-43.2023.4.01.3229,QUARTA TURMA,1.2.5
2026-01-05,7163963-85.2020.4.01.3640,SEGUNDA SEÇÃO,1.1.5
2026-01-05,7163963-85.2020.4.01.3640,SEGUNDA SEÇÃO,2.3.9
2025-12-06,6874962-65.2025.4.01.3566,TERCEIRA TURMA,1.2.8
2026-01-21,6418257-35.2020.4.01.3463,SEGUNDA TURMA,1.2.4
2026-01-01,4525540-82.2023.4.01.3832,TERCEIRA SEÇÃO,1.1.5
2025-12-24,3557382-99.2024.4.01.3354,CORTE ESPECIAL,1.4.4
2025-12-24,3557382-99.2024.4.01.3354,CORTE ESPECIAL,2.4.1
2026-01-20,5009458-15.2021.4.01.3825,Não Informado,1.2.4
2025-12-16,6982049-87.2022.4.01.3036,PRIMEIRA TURMA,1.3.6
2025-12-16,6982049-87.2022.4.01.3036,PRIMEIRA TURMA,2.4.3
2026-01-21,1917004-12.2024.4.01.3704,SEGUNDA TURMA,1.3.2
2025-12-01,2569857-84.2025.4.01.3439,CORTE ESPECIAL,1.4.2
2025-12-27,8558070-85.2025.4.01.3338,SEXTA TURMA,1.2.9
2025-12-05,6548215-95.2023.4.01.3304,CORTE ESPECIAL,1.2.7
2025-12-01,3555925-70.2020.4.01.3893,PRIMEIRA SEÇÃO,1.2.7
2026-01-21,1418092-39.2022.4.01.3043,TERCEIRA SEÇÃO,1.5.4
2026-01-10,2681430-28.2020.4.01.3462,PRIMEIRA TURMA,1.2.9
2026-01-10,2681430-28.2020.4.01.3462,PRIMEIRA TURMA,2.2.3
2025-12-25,3011349-74.2023.4.01.3534,PRIMEIRA TURMA,1.2.1
2025-12-02,5036285-31.2023.4.01.3045,SEGUNDA SEÇÃO,1.3.2
2025-12-11,3834540-96.2020.4.01.3904,PRIMEIRA SEÇÃO,1.3.3
2025-12-01,8264853-54.2024.4.01.3581,QUARTA TURMA,1.1.1
2025-12-11,5382393-93.2024.4.01.3468,SEXTA TURMA,1.2.8
2026-01-11,3712615-10.2025.4.01.3740,TERCEIRA TURMA,1.1.5
2025-12-06,9435234-43.2024.4.01.3848,PRIMEIRA TURMA,1.5.6
2025-12-06,9435234-43.2024.4.01.3848,PRIMEIRA TURMA,2.2.6
2025-12-23,8933943-62.2025.4.01.3748,PRIMEIRA TURMA,1.1.1
2025-12-23,8933943-62.2025.4.01.3748,PRIMEIRA TURMA,2.1.3
2025-11-30,7775996-83.2021.4.01.3114,TERCEIRA SEÇÃO,1.2.8
2025-11-30,7775996-83.2021.4.01.3114,TERCEIRA SEÇÃO,2.2.6
2025-12-24,8021814-72.2020.4.01.3253,SEGUNDA TURMA,1.4.7
2025-12-24,8021814-72.2020.4.01.3253,SEGUNDA TURMA,2.4.8
2026-01-11,6680852-52.2020.4.01.3012,QUARTA TURMA,1.1.1
2026-01-11,6680852-52.2020.4.01.3012,QUARTA TURMA,2.2.4
2025-12-06,4015903-67.2023.4.01.3051,SEGUNDA TURMA,1.2.8
2025-12-06,4015903-67.2023.4.01.3051,SEGUNDA TURMA,2.3.2
2026-01-22,3975617-16.2021.4.01.3883,Não Informado,1.2.5
2025-12-15,4875665-18.2024.4.01.3816,SEGUNDA SEÇÃO,1.5.1
2026-01-17,6215874-40.2021.4.01.3708,PRIMEIRA TURMA,1.4.9
2026-01-22,9893634-17.2024.4.01.3432,TERCEIRA TURMA,1.5.1
2026-01-22,9893634-17.2024.4.01.3432,TERCEIRA TURMA,2.5.8
2026-01-17,4005447-50.2024.4.01.3455,SEGUNDA TURMA,1.4.2
2026-01-16,3541970-19.2020.4.01.3627,QUINTA TURMA,1.4.1
2026-01-04,7391212-72.2025.4.01.3715,SEGUNDA SEÇÃO,1.1.9
2026-01-10,8588513-97.2020.4.01.3048,SEGUNDA TURMA,1.3.1
2026-01-10,8588513-97.2020.4.01.3048,SEGUNDA TURMA,2.1.1
2025-12-10,1742082-35.2022.4.01.3007,TERCEIRA TURMA,1.3.8
2026-01-21,1296931-75.2023.4.01.3129,SEGUNDA TURMA,1.2.7
2025-12-20,7558323-24.2025.4.01.3794,QUARTA TURMA,1.4.1
2025-12-20,2472270-65.2025.4.01.3328,QUARTA TURMA,1.5.1
2025-12-20,2472270-65.2025.4.01.3328,QUARTA TURMA,2.2.7
2026-01-21,5678707-21.2023.4.01.3202,TERCEIRA TURMA,1.1.3
2026-01-09,2010313-53.2021.4.01.3647,TERCEIRA SEÇÃO,1.1.2
2025-12-07,5109584-30.2021.4.01.3718,PRIMEIRA SEÇÃO,1.1.3
2025-12-07,5109584-30.2021.4.01.3718,PRIMEIRA SEÇÃO,2.3.1
2025-12-07,3994255-48.2024.4.01.3212,SEGUNDA SEÇÃO,1.3.3
