Data da Extração,Número,Classe,Procurador Responsável,Órgão Padronizado,Valor da causa,Status Normalizado,UF_1,UF_2
2026-01-18,4187923-47.2020.4.01.3051,Agravo de Instrumento,Francisco da Paz,TERCEIRA TURMA,14324.99,PENDENTE,BA,
2026-01-16,7853432-12.2025.4.01.3355,Apelação Cível,Rafael Ramos,QUARTA TURMA,4784.96,CONCLUÍDO,RR,
2026-01-25,8803562-10.2023.4.01.3776,Agravo de Instrumento,Isabela da Paz,Não Informado,14354.18,PENDENTE,"AM",TO
2025-12-07,7139965-74.2023.4.01.3363,Execução Fiscal,Cecilia Costela,,2399.65,PENDENTE,PR,
2025-12-14,2960079-77.2023.4.01.3424,Mandado de Segurança,Cecilia Costela,QUARTA TURMA,31849.39,PENDENTE,"MG",MG
2025-12-23,3841267-17.2022.4.01.3297,Apelação Cível,Evelyn da Cruz,QUARTA TURMA,43426.59,PENDENTE,PB,
2025-12-30,3128531-21.2023.4.01.3537,Execução Fiscal,Liz Guerra,Não Informado,3900.16,CONCLUÍDO,ES,
2025-12-01,1717046-36.2021.4.01.3230,Mandado de Segurança,Brayan Teixeira,TERCEIRA SEÇÃO,3226.23,PENDENTE,SP,
2026-01-20,2209916-81.2022.4.01.3587,Mandado de Segurança,Cecilia Costela,TERCEIRA SEÇÃO,14015.35,CONCLUÍDO,GO,
2025-12-22,9874291-34.2021.4.01.3987,Mandado de Segurança,Benjamin Moraes,CORTE ESPECIAL,6927.24,PENDENTE,RO,
2025-12-27,5543734-62.2024.4.01.3176,Mandado de Segurança,Ana Laura Vargas,QUARTA TURMA,4302.65,CONCLUÍDO,"RR",AL
2025-12-20,1432456-34.2022.4.01.3609,Execução Fiscal,Brayan Teixeira,QUARTA TURMA,6343.68,PENDENTE,MS,
2025-12-22,1765021-36.2023.4.01.3719,Agravo de Instrumento,Isabela da Paz,QUINTA TURMA,25186.43,PENDENTE,TO,
2026-01-07,8736615-49.2021.4.01.3813,Agravo de Instrumento,Benjamin Moraes,SEGUNDA SEÇÃO,40275.28,CONCLUÍDO,RJ,
2025-12-18,4121706-71.2024.4.01.3179,Apelação Cível,Isabela da Paz,TERCEIRA TURMA,18821.13,CONCLUÍDO,AM,
2026-01-01,7035943-76.2023.4.01.3431,Agravo de Instrumento,Luiz Miguel Albuquerque,PRIMEIRA SEÇÃO,14904.84,CONCLUÍDO,TO,
2025-12-26,6367477-30.2022.4.01.3858,Apelação Cível,Anthony Nogueira,PRIMEIRA SEÇÃO,41201.87,PENDENTE,AM,
2025-12-21,2060921-92.2022.4.01.3428,Agravo de Instrumento,Leonardo Sales,QUARTA TURMA,2253.9,CONCLUÍDO,"RS",DF
2025-12-06,2845494-47.2025.4.01.3323,Apelação Cível,Luiz Miguel Albuquerque,TERCEIRA TURMA,19798.7,CONCLUÍDO,"AP",SE
2026-01-11,8739828-80.2024.4.01.3047,Execução Fiscal,Francisco da Paz,SEGUNDA SEÇÃO,30715.43,PENDENTE,TO,
2026-01-10,9248942-44.2020.4.01.3155,Agravo de Instrumento,Rafael Ramos,TERCEIRA SEÇÃO,25189.96,PENDENTE,RJ,
2026-01-07,3443963-58.2024.4.01.3108,Agravo de Instrumento,Ana Laura Vargas,TERCEIRA TURMA,8237.43,PENDENTE,PA,
2026-01-24,8208983-55.2024.4.01.3616,Mandado de Segurança,Francisco da Paz,PRIMEIRA SEÇÃO,25656.25,PENDENTE,RS,
2026-01-22,4452387-50.2025.4.01.3473,Execução Fiscal,Cecilia Costela,CORTE ESPECIAL,37559.24,PENDENTE,MT,
2025-12-13,1330470-80.2023.4.01.3663,Execução Fiscal,Benjamin Moraes,PRIMEIRA TURMA,13919.16,PENDENTE,SP,
2025-12-01,1955056-89.2021.4.01.3694,Mandado de Segurança,Luiz Miguel Albuquerque,SEXTA TURMA,12451.0,CONCLUÍDO,RN,
2026-01-06,3810550-87.2020.4.01.3214,Apelação Cível,Ana Laura Vargas,QUINTA TURMA,12541.32,PENDENTE,"AL",MT
2026-01-08,7578823-21.2020.4.01.3625,Apelação Cível,Liz Guerra,,1847.46,PENDENTE,MT,
2026-01-16,6954395-65.2020.4.01.3366,Agravo de Instrumento,Ana Laura Vargas,PRIMEIRA TURMA,1145.11,PENDENTE,"RS",SC
2026-01-24,2812847-64.2025.4.01.3805,Apelação Cível,Anthony Nogueira,SEGUNDA TURMA,23022.32,CONCLUÍDO,AM,
2025-12-08,7090801-21.2025.4.01.3301,Mandado de Segurança,Liz Guerra,PRIMEIRA SEÇÃO,54386.62,PENDENTE,PR,
2026-01-15,5671716-86.2025.4.01.3384,Mandado de Segurança,Isabela da Paz,SEGUNDA SEÇÃO,3526.56,PENDENTE,PI,
2025-12-10,8174339-66.2024.4.01.3067,Execução Fiscal,Rafael Ramos, ,17347.61,CONCLUÍDO,RN,
2025-12-23,7495779-80.2025.4.01.3355,Execução Fiscal,Anthony Nogueira,SEXTA TURMA,17690.9,CONCLUÍDO,BA,
2025-12-02,5576935-49.2022.4.01.3295,Apelação Cível,Leonardo Sales,PRIMEIRA SEÇÃO,47499.42,PENDENTE,RR,
2026-01-06,7220611-79.2023.4.01.3166,Agravo de Instrumento,Evelyn da Cruz,SEGUNDA TURMA,34914.38,PENDENTE,RO,
2025-12-16,6259146-34.2020.4.01.3726,Mandado de Segurança,Francisco da Paz,QUINTA TURMA,9074.54,CONCLUÍDO,MS,
2026-01-15,3887557-98.2020.4.01.3027,Execução Fiscal,Evelyn da Cruz,SEGUNDA TURMA,35524.83,CONCLUÍDO,GO,
2026-01-26,4211438-61.2024.4.01.3214,Apelação Cível,Francisco da Paz,QUARTA TURMA,32312.47,PENDENTE,"DF",SC
2025-12-22,4569945-94.2021.4.01.3974,Agravo de Instrumento,Liz Guerra,QUINTA TURMA,28628.11,PENDENTE,BA,
2025-12-27,2681651-51.2022.4.01.3678,Execução Fiscal,Leonardo Sales,SEGUNDA TURMA,31065.94,PENDENTE,SC,
2025-12-13,3214836-58.2025.4.01.3149,Agravo de Instrumento,Liz Guerra,TERCEIRA TURMA,33195.74,CONCLUÍDO,AP,
2025-12-11,4733634-91.2020.4.01.3843,Agravo de Instrumento,Brayan Teixeira,QUARTA TURMA,46099.17,PENDENTE,PI,
2025-12-30,8932303-77.2025.4.01.3736,Apelação Cível,Liz Guerra,QUINTA TURMA,19804.07,PENDENTE,RR,
2025-12-28,3258497-70.2021.4.01.3121,Mandado de Segurança,Luiz Miguel Albuquerque,PRIMEIRA TURMA,17044.45,PENDENTE,SE,
2025-12-11,1770658-39.2020.4.01.3503,Mandado de Segurança,Liz Guerra,PRIMEIRA SEÇÃO,25120.71,PENDENTE,GO,
2025-12-31,1806687-87.2025.4.01.3503,Agravo de Instrumento,Francisco da Paz,PRIMEIRA SEÇÃO,38034.88,PENDENTE,ES,
2025-12-14,3008921-38.2022.4.01.3217,Apelação Cível,Liz Guerra,SEGUNDA TURMA,19145.29,PENDENTE,PR,
2026-01-21,3922168-78.2021.4.01.3001,Execução Fiscal,Benjamin Moraes,PRIMEIRA SEÇÃO,7408.65,PENDENTE,PB,
2026-01-26,3458572-85.2022.4.01.3945,Apelação Cível,Luiz Miguel Albuquerque,CORTE ESPECIAL,2488.16,CONCLUÍDO,DF,
2026-01-07,6913308-65.2020.4.01.3534,Agravo de Instrumento,Evelyn da Cruz,PRIMEIRA TURMA,46941.22,PENDENTE,GO,
2025-12-13,1540885-17.2024.4.01.3567,Agravo de Instrumento,Francisco da Paz,TERCEIRA TURMA,16479.25,PENDENTE,AC,
2025-12-31,4507518-40.2021.4.01.3953,Apelação Cível,Benjamin Moraes,QUINTA TURMA,17093.3,PENDENTE,DF,
2026-01-06,9510650-41.2020.4.01.3181,Mandado de Segurança,Anthony Nogueira,TERCEIRA SEÇÃO,53276.39,CONCLUÍDO,MG,
2025-12-03,2159659-77.2021.4.01.3039,Execução Fiscal,Anthony Nogueira,SEXTA TURMA,35279.18,PENDENTE,MG,
2026-01-12,3737412-52.2023.4.01.3440,Apelação Cível,Isabela da Paz,QUARTA TURMA,11342.58,CONCLUÍDO,PR,
2026-01-25,1109778-92.2021.4.01.3788,Apelação Cível,Francisco da Paz,SEXTA TURMA,22112.32,PENDENTE,PB,
2026-01-08,3267447-69.2021.4.01.3122,Apelação Cível,Anthony Nogueira,PRIMEIRA SEÇÃO,5801.14,PENDENTE,RN,
2026-01-20,1644590-75.2024.4.01.3630,Apelação Cível,Luiz Miguel Albuquerque,QUINTA TURMA,25535.52,PENDENTE,RR,
2026-01-03,7962118-18.2024.4.01.3773,Execução Fiscal,Brayan Teixeira,TERCEIRA SEÇÃO,45811.84,PENDENTE,RS,
2025-12-21,3900802-87.2021.4.01.3580,Agravo de Instrumento,Isabela da Paz,PRIMEIRA TURMA,38986.16,PENDENTE,RN,
2025-12-14,5201594-15.2023.4.01.3671,Execução Fiscal,Leonardo Sales,QUARTA TURMA,17201.39,CONCLUÍDO,DF,
2025-12-11,1151788-50.2025.4.01.3637,Agravo de Instrumento,Leonardo Sales,TERCEIRA SEÇÃO,26038.7,PENDENTE,AL,
2026-01-06,4038513-24.2024.4.01.3787,Execução Fiscal,Anthony Nogueira,TERCEIRA SEÇÃO,33947.87,PENDENTE,RJ,
2026-01-21,7843228-38.2025.4.01.3297,Execução Fiscal,Isabela da Paz,QUARTA TURMA,23999.17,CONCLUÍDO,SC,
2026-01-11,7631785-99.2020.4.01.3797,Mandado de Segurança,Liz Guerra,TERCEIRA SEÇÃO,33010.53,CONCLUÍDO,GO,
2026-01-03,6009237-71.2023.4.01.3553,Apelação Cível,Luiz Miguel Albuquerque,SEGUNDA TURMA,20947.12,PENDENTE,MA,
2025-12-05,5758840-84.2022.4.01.3201,Mandado de Segurança,Ana Laura Vargas,CORTE ESPECIAL,40685.33,CONCLUÍDO,PB,
2026-01-25,7122746-92.2020.4.01.3037,Agravo de Instrumento,Ana Laura Vargas,TERCEIRA TURMA,2658.35,PENDENTE,PI,
2025-12-24,4923709-91.2020.4.01.3516,Apelação Cível,Francisco da Paz,TERCEIRA SEÇÃO,42618.67,PENDENTE,RO,
2026-01-01,6817035-77.2020.4.01.3662,Agravo de Instrumento,Luiz Miguel Albuquerque,SEXTA TURMA,17363.12,PENDENTE,RJ,
2026-01-16,2048650-30.2020.4.01.3092,Apelação Cível,Rafael Ramos,QUARTA TURMA,36491.26,PENDENTE,AL,
2026-01-02,6334051-50.2020.4.01.3339,Execução Fiscal,Luiz Miguel Albuquerque,TERCEIRA SEÇÃO,29808.07,CONCLUÍDO,AC,
2026-01-14,4743080-27.2020.4.01.3042,Execução Fiscal,Leonardo Sales,SEGUNDA SEÇÃO,31902.93,CONCLUÍDO,AM,
2026-01-10,6361339-71.2023.4.01.3535,Agravo de Instrumento,Luiz Miguel Albuquerque,CORTE ESPECIAL,53624.59,CONCLUÍDO,AP,
2026-01-27,9224331-34.2020.4.01.3716,Agravo de Instrumento,Isabela da Paz,SEGUNDA SEÇÃO,14835.91,PENDENTE,BA,
2025-12-10,5557792-18.2020.4.01.3528,Execução Fiscal,Leonardo Sales,QUARTA TURMA,19279.57,PENDENTE,MA,
2026-01-03,7223399-51.2024.4.01.3386,Apelação Cível,Liz Guerra,SEGUNDA TURMA,36769.67,CONCLUÍDO,PA,
2026-01-04,4517243-91.2024.4.01.3774,Apelação Cível,Liz Guerra,PRIMEIRA TURMA,22379.43,PENDENTE,"AM",BA
2026-01-22,5040746-11.2025.4.01.3347,Agravo de Instrumento,Brayan Teixeira,QUINTA TURMA,30316.24,PENDENTE,CE,
2025-12-31,7164660-18.2024.4.01.3731,Apelação Cível,Leonardo Sales,TERCEIRA TURMA,48795.92,PENDENTE,DF,
2025-12-19,2899142-65.2022.4.01.3583,Execução Fiscal,Benjamin Moraes,PRIMEIRA TURMA,24500.01,CONCLUÍDO,PB,
2026-01-13,6663867-33.2021.4.01.3616,Mandado de Segurança,Rafael Ramos,TERCEIRA TURMA,32033.13,CONCLUÍDO,AP,
2025-12-01,6133845-65.2024.4.01.3846,Mandado de Segurança,Isabela da Paz,PRIMEIRA SEÇÃO,27551.72,PENDENTE,GO,
2026-01-23,7402795-52.2023.4.01.3324,Agravo de Instrumento,Luiz Miguel Albuquerque,CORTE ESPECIAL,50662.13,CONCLUÍDO,MS,
2025-12-17,9108404-42.2024.4.01.3827,Mandado de Segurança,Isabela da Paz,SEGUNDA SEÇÃO,9141.69,CONCLUÍDO,AC,
2025-12-11,9121632-28.2020.4.01.3910,Mandado de Segurança,Isabela da Paz,CORTE ESPECIAL,39749.15,PENDENTE,PB,
2025-12-10,8333534-91.2022.4.01.3804,Agravo de Instrumento,Isabela da Paz,QUARTA TURMA,23569.72,PENDENTE,BA,
2025-12-17,8350578-11.2020.4.01.3916,Mandado de Segurança,Rafael Ramos,PRIMEIRA TURMA,18651.52,PENDENTE,RS,
2025-12-01,9602043-24.2024.4.01.3291,Mandado de Segurança,Rafael Ramos,TERCEIRA SEÇÃO,39594.25,PENDENTE,SE,
2025-12-20,4797463-75.2024.4.01.3985,Mandado de Segurança,Benjamin Moraes,CORTE ESPECIAL,35332.69,PENDENTE,PA,
2025-12-31,9842492-70.2021.4.01.3651,Apelação Cível,Rafael Ramos,PRIMEIRA SEÇÃO,12515.25,PENDENTE,"GO",MG
2025-12-28,2416633-78.2022.4.01.3713,Apelação Cível,Evelyn da Cruz,SEGUNDA TURMA,31068.39,PENDENTE,AL,
2026-01-04,6281015-21.2020.4.01.3527,Agravo de Instrumento,Cecilia Costela,CORTE ESPECIAL,8212.43,PENDENTE,AP,
2026-01-14,8607894-96.2022.4.01.3631,Apelação Cível,Leonardo Sales,SEGUNDA TURMA,18852.82,PENDENTE,"AM",SC
2025-12-05,3091646-87.2020.4.01.3394,Mandado de Segurança,Francisco da Paz,QUINTA TURMA,44620.7,CONCLUÍDO,RR,
2026-01-23,1755495-76.2022.4.01.3429,Agravo de Instrumento,Anthony Nogueira,SEGUNDA TURMA,20565.07,PENDENTE,RO,
2025-12-17,5269236-33.2025.4.01.3420,Mandado de Segurança,Ana Laura Vargas,Não Informado,1060.66,CONCLUÍDO,PE,
2025-12-19,2777127-17.2021.4.01.3542,Agravo de Instrumento,Brayan Teixeira,SEGUNDA TURMA,54463.04,PENDENTE,BA,
2025-12-19,5596681-19.2021.4.01.3327,Mandado de Segurança,Ana Laura Vargas,CORTE ESPECIAL,8539.15,PENDENTE,MA,
2025-12-03,7639445-91.2023.4.01.3219,Agravo de Instrumento,Cecilia Costela,TERCEIRA TURMA,41713.61,PENDENTE,RR,
2025-12-20,2396536-65.2022.4.01.3225,Apelação Cível,Luiz Miguel Albuquerque,PRIMEIRA SEÇÃO,21484.79,CONCLUÍDO,MT,
2025-12-18,1727884-81.2020.4.01.3868,Apelação Cível,Rafael Ramos,TERCEIRA SEÇÃO,2635.28,PENDENTE,MG,
2025-12-10,6265842-47.2025.4.01.3361,Mandado de Segurança,Benjamin Moraes,CORTE ESPECIAL,47989.52,PENDENTE,AM,
2026-01-18,5231473-64.2021.4.01.3835,Mandado de Segurança,Evelyn da Cruz,CORTE ESPECIAL,19124.54,CONCLUÍDO,MT,
2026-01-25,4160618-89.2020.4.01.3483,Execução Fiscal,Brayan Teixeira,SEGUNDA TURMA,52349.4,PENDENTE,PI,
2025-12-12,8570125-73.2021.4.01.3274,Agravo de Instrumento,Isabela da Paz,TERCEIRA SEÇÃO,16115.19,CONCLUÍDO,MT,
2026-01-08,7837868-94.2023.4.01.3449,Agravo de Instrumento,Brayan Teixeira,TERCEIRA TURMA,25501.36,CONCLUÍDO,RS,
2026-01-20,1476380-65.2022.4.01.3064,Apelação Cível,Cecilia Costela,PRIMEIRA SEÇÃO,47089.01,PENDENTE,PI,
2025-12-21,8557424-43.2021.4.01.3103,Mandado de Segurança,Rafael Ramos,PRIMEIRA SEÇÃO,44422.5,PENDENTE,AP,
2025-12-12,2861949-80.2024.4.01.3887,Agravo de Instrumento,Isabela da Paz,QUARTA TURMA,35059.82,CONCLUÍDO,SC,
2025-12-09,7652786-67.2024.4.01.3919,Mandado de Segurança,Brayan Teixeira,SEGUNDA SEÇÃO,38863.97,PENDENTE,TO,
2026-01-12,8492033-92.2024.4.01.3344,Agravo de Instrumento,Ana Laura Vargas,CORTE ESPECIAL,44018.66,PENDENTE,"AP",PI
2026-01-27,4545461-63.2024.4.01.3426,Execução Fiscal,Benjamin Moraes,QUINTA TURMA,21707.32,PENDENTE,PB,
2025-12-26,8004593-49.2020.4.01.3142,Agravo de Instrumento,Ana Laura Vargas,SEGUNDA TURMA,4542.76,CONCLUÍDO,RS,
2026-01-27,1000654-71.2022.4.01.3749,Execução Fiscal,Evelyn da Cruz,PRIMEIRA TURMA,33995.79,PENDENTE,MG,
2026-01-24,1049323-31.2025.4.01.3455,Apelação Cível,Francisco da Paz,QUINTA TURMA,37046.75,PENDENTE,SE,
2025-12-09,4069484-86.2024.4.01.3725,Apelação Cível,Francisco da Paz,PRIMEIRA TURMA,43800.62,CONCLUÍDO,AM,
2025-12-09,4382747-51.2020.4.01.3715,Apelação Cível,Anthony Nogueira,CORTE ESPECIAL,22956.39,CONCLUÍDO,BA,
2026-01-05,7727993-15.2024.4.01.3850,Execução Fiscal,Francisco da Paz,SEXTA TURMA,10532.36,PENDENTE,MS,
2026-01-05,1975886-18.2025.4.01.3332,Apelação Cível,Evelyn da Cruz,SEXTA TURMA,37788.27,CONCLUÍDO,MT,
2025-12-27,8638585-32.2023.4.01.3613,Mandado de Segurança,Liz Guerra,QUARTA TURMA,7816.44,CONCLUÍDO,PR,
2026-01-26,8888717-13.2021.4.01.3484,Mandado de Segurança,Anthony Nogueira,CORTE ESPECIAL,37722.57,CONCLUÍDO,AC,
2026-01-26,4754445-80.2025.4.01.3895,Mandado de Segurança,Ana Laura Vargas,PRIMEIRA TURMA,19058.74,CONCLUÍDO,SE,
2025-12-29,6920673-91.2020.4.01.3702,Agravo de Instrumento,Rafael Ramos,SEGUNDA TURMA,3264.21,CONCLUÍDO,GO,
2026-01-06,9061538-97.2025.4.01.3050,Execução Fiscal,Isabela da Paz,TERCEIRA TURMA,7932.62,CONCLUÍDO,PR,
2026-01-10,8595965-55.2023.4.01.3189,Execução Fiscal,Isabela da Paz,CORTE ESPECIAL,32674.04,CONCLUÍDO,AL,
2025-12-06,2603120-99.2024.4.01.3733,Execução Fiscal,Isabela da Paz,SEGUNDA TURMA,3182.81,PENDENTE,TO,
2026-01-12,2724264-45.2020.4.01.3420,Mandado de Segurança,Liz Guerra,PRIMEIRA SEÇÃO,16859.24,PENDENTE,MS,
2025-12-04,5425988-42.2020.4.01.3914,Mandado de Segurança,Liz Guerra,SEXTA TURMA,49952.01,CONCLUÍDO,RN,
2025-12-20,7437139-98.2025.4.01.3918,Execução Fiscal,Anthony Nogueira,PRIMEIRA TURMA,40305.9,PENDENTE,RR,
2025-12-04,8215475-47.2022.4.01.3939,Agravo de Instrumento,Ana Laura Vargas,QUARTA TURMA,22477.94,CONCLUÍDO,"SC",DF
2025-12-13,2821641-32.2021.4.01.3011,Agravo de Instrumento,Isabela da Paz,CORTE ESPECIAL,21239.76,PENDENTE,GO,
2025-12-26,8890386-27.2021.4.01.3700,Apelação Cível,Luiz Miguel Albuquerque,PRIMEIRA SEÇÃO,20299.14,PENDENTE,SC,
2026-01-04,6908539-52.2021.4.01.3707,Apelação Cível,Brayan Teixeira,TERCEIRA SEÇÃO,47908.81,CONCLUÍDO,GO,
2025-12-15,8832879-48.2021.4.01.3013,Agravo de Instrumento,Brayan Teixeira,PRIMEIRA TURMA,18035.89,CONCLUÍDO,GO,
2026-01-12,8543801-85.2021.4.01.3797,Execução Fiscal,Anthony Nogueira,PRIMEIRA TURMA,20191.61,PENDENTE,RS,
2025-12-21,1373052-81.2025.4.01.3811,Mandado de Segurança,Benjamin Moraes,PRIMEIRA SEÇÃO,39613.67,CONCLUÍDO,ES,
2026-01-24,5797280-35.2022.4.01.3524,Agravo de Instrumento,Isabela da Paz,PRIMEIRA TURMA,47859.52,PENDENTE,ES,
2026-01-05,7231235-49.2025.4.01.3960,Execução Fiscal,Leonardo Sales,SEGUNDA SEÇÃO,41539.17,CONCLUÍDO,"PR",PI
2025-12-09,4567067-43.2023.4.01.3173,Execução Fiscal,Anthony Nogueira,CORTE ESPECIAL,25470.76,PENDENTE,SE,
2025-12-11,7894786-84.2023.4.01.3349,Apelação Cível,Evelyn da Cruz,PRIMEIRA SEÇÃO,4236.35,PENDENTE,CE,
2025-12-21,2892952-24.2022.4.01.3585,Execução Fiscal,Rafael Ramos,SEGUNDA TURMA,3811.83,CONCLUÍDO,MS,
2025-12-31,6180689-54.2025.4.01.3057,Agravo de Instrumento,Francisco da Paz,SEGUNDA TURMA,34407.3,PENDENTE,SP,
2025-12-25,6062564-83.2023.4.01.3162,Agravo de Instrumento,Ana Laura Vargas,SEGUNDA TURMA,15984.49,PENDENTE,"MS",RJ
2026-01-09,3397919-87.2020.4.01.3652,Mandado de Segurança,Brayan Teixeira,PRIMEIRA TURMA,41428.31,CONCLUÍDO,MS,
2026-01-13,1323873-32.2025.4.01.3978,Apelação Cível,Francisco da Paz,QUARTA TURMA,27972.69,PENDENTE,RR,
2025-12-04,8833748-50.2022.4.01.3208,Mandado de Segurança,Brayan Teixeira,SEXTA TURMA,9181.29,PENDENTE,AL,
2025-12-18,1838048-69.2021.4.01.3268,Agravo de Instrumento,Rafael Ramos,QUARTA TURMA,21768.18,PENDENTE,PA,
2026-01-22,7318614-31.2023.4.01.3199,Agravo de Instrumento,Benjamin Moraes, ,3791.85,PENDENTE,RN,
2025-12-30,9772870-75.2022.4.01.3756,Mandado de Segurança,Cecilia Costela,SEGUNDA TURMA,36505.47,PENDENTE,RS,
2025-12-09,9929094-17.2022.4.01.3544,Execução Fiscal,Liz Guerra,QUINTA TURMA,33171.9,PENDENTE,MT,
2026-01-26,1879040-38.2023.4.01.3734,Agravo de Instrumento,Brayan Teixeira,PRIMEIRA TURMA,53119.13,CONCLUÍDO,AM,
2026-01-05,6940809-93.2025.4.01.3290,Agravo de Instrumento,Liz Guerra,TERCEIRA TURMA,25087.33,CONCLUÍDO,MA,
2026-01-05,8934589-37.2020.4.01.3780,Mandado de Segurança,Evelyn da Cruz,SEXTA TURMA,53163.76,CONCLUÍDO,RR,
2026-01-05,8222217-18.2024.4.01.3125,Execução Fiscal,Francisco da Paz,SEGUNDA TURMA,22695.89,PENDENTE,RJ,
2025-12-10,4442143-90.2020.4.01.3728,Mandado de Segurança,Anthony Nogueira,QUINTA TURMA,3061.2,CONCLUÍDO,RJ,
2025-12-22,9081184-25.2020.4.01.3338,Agravo de Instrumento,Anthony Nogueira,SEGUNDA TURMA,29226.31,PENDENTE,SC,
2025-12-18,7790739-38.2025.4.01.3611,Mandado de Segurança,Liz Guerra,SEGUNDA TURMA,18221.11,PENDENTE,MS,
2025-12-07,9528279-63.2020.4.01.3932,Agravo de Instrumento,Liz Guerra,PRIMEIRA TURMA,18278.27,PENDENTE,ES,
2025-12-26,4256237-59.2023.4.01.3907,Mandado de Segurança,Francisco da Paz,SEGUNDA SEÇÃO,39787.94,CONCLUÍDO,AP,
2026-01-12,3777932-35.2024.4.01.3900,Apelação Cível,Leonardo Sales,QUINTA TURMA,49454.09,CONCLUÍDO,RN,
2025-12-04,7220936-18.2024.4.01.3773,Mandado de Segurança,Francisco da Paz,QUARTA TURMA,40280.84,CONCLUÍDO,MS,
2025-12-01,5982231-73.2021.4.01.3346,Mandado de Segurança,Liz Guerra,QUINTA TURMA,17593.41,PENDENTE,RR,
2025-12-01,1491022-61.2021.4.01.3596,Agravo de Instrumento,Ana Laura Vargas,QUARTA TURMA,6562.21,PENDENTE,"PR",PB
2026-01-14,3021461-43.2020.4.01.3953,Apelação Cível,Brayan Teixeira,CORTE ESPECIAL,28119.98,CONCLUÍDO,RJ,
2025-12-12,7811598-79.2024.4.01.3406,Apelação Cível,Francisco da Paz,Não Informado,14823.98,PENDENTE,CE,
2025-12-28,5707896-23.2023.4.01.3086,Apelação Cível,Ana Laura Vargas,TERCEIRA SEÇÃO,30851.08,CONCLUÍDO,PI,
2026-01-25,5688176-84.2022.4.01.3593,Apelação Cível,Ana Laura Vargas,PRIMEIRA SEÇÃO,2718.25,CONCLUÍDO,AP,
2025-12-04,1335704-42.2020.4.01.3316,Agravo de Instrumento,Anthony Nogueira,SEGUNDA TURMA,25889.06,CONCLUÍDO,DF,
2025-12-17,1759816-87.2025.4.01.3728,Execução Fiscal,Benjamin Moraes, ,5482.73,PENDENTE,GO,
2026-01-01,1120442-24.2021.4.01.3629,Agravo de Instrumento,Rafael Ramos,PRIMEIRA SEÇÃO,45775.21,CONCLUÍDO,ES,
2025-12-21,2461045-86.2020.4.01.3563,Mandado de Segurança,Benjamin Moraes,QUARTA TURMA,43577.32,PENDENTE,CE,
2026-01-26,1205833-87.2022.4.01.3199,Apelação Cível,Rafael Ramos,QUINTA TURMA,51816.96,CONCLUÍDO,PA,
2026-01-07,1924150-83.2021.4.01.3493,Apelação Cível,Anthony Nogueira,QUARTA TURMA,30893.97,PENDENTE,AC,
2026-01-12,2167002-93.2025.4.01.3741,Mandado de Segurança,Cecilia Costela,SEXTA TURMA,21710.73,PENDENTE,AC,
2025-12-11,3682113-61.2024.4.01.3704,Execução Fiscal,Rafael Ramos,PRIMEIRA SEÇÃO,42762.35,CONCLUÍDO,BA,
2026-01-21,3731820-34.2025.4.01.3562,Mandado de Segurança,Benjamin Moraes,CORTE ESPECIAL,40489.18,PENDENTE,RN,
2025-11-30,9934800-88.2020.4.01.3807,Mandado de Segurança,Anthony Nogueira, ,36714.76,PENDENTE,RJ,
2025-12-26,6919153-25.2021.4.01.3102,Apelação Cível,Isabela da Paz,PRIMEIRA SEÇÃO,35323.81,PENDENTE,RO,
2025-12-10,9860902-64.2020.4.01.3630,Agravo de Instrumento,Evelyn da Cruz,QUARTA TURMA,17838.19,PENDENTE,PA,
2025-12-30,3484187-44.2022.4.01.3710,Apelação Cível,Isabela da Paz,QUINTA TURMA,44539.32,CONCLUÍDO,"SP",PI
2026-01-09,5841587-49.2022.4.01.3825,Mandado de Segurança,Luiz Miguel Albuquerque,PRIMEIRA SEÇÃO,12527.85,CONCLUÍDO,PR,
2025-12-23,4731157-51.2022.4.01.3788,Agravo de Instrumento,Evelyn da Cruz,TERCEIRA TURMA,32528.06,PENDENTE,RN,
2025-12-21,3798745-42.2023.4.01.3499,Agravo de Instrumento,Isabela da Paz,QUARTA TURMA,31079.06,PENDENTE,"SC",RJ
2026-01-23,8558355-37.2023.4.01.3661,Agravo de Instrumento,Rafael Ramos,TERCEIRA SEÇÃO,14387.07,CONCLUÍDO,SC,
2026-01-12,9549781-34.2022.4.01.3902,Apelação Cível,Liz Guerra,PRIMEIRA TURMA,26293.56,CONCLUÍDO,BA,
2026-01-02,9349282-24.2022.4.01.3499,Mandado de Segurança,Luiz Miguel Albuquerque,CORTE ESPECIAL,17428.34,PENDENTE,"RO",ES
2026-01-15,1649042-91.2022.4.01.3333,Agravo de Instrumento,Rafael Ramos,TERCEIRA TURMA,10001.48,PENDENTE,RR,
2025-12-24,3441601-78.2023.4.01.3796,Apelação Cível,Ana Laura Vargas,SEGUNDA TURMA,24031.35,PENDENTE,AC,
2025-11-29,3010236-74.2025.4.01.3137,Execução Fiscal,Ana Laura Vargas,QUINTA TURMA,23287.56,PENDENTE,DF,
2025-12-15,1150177-99.2025.4.01.3614,Apelação Cível,Liz Guerra,PRIMEIRA SEÇÃO,41312.04,CONCLUÍDO,AM,
2026-01-03,7295325-92.2024.4.01.3662,Mandado de Segurança,Anthony Nogueira,TERCEIRA TURMA,10088.81,CONCLUÍDO,AP,
