Data da Extração,Número,Valor da causa,variable,UF_Unificada
2026-01-03,7295325-92.2024.4.01.3662,10088.81,UF_1,AP
2025-11-30,1713941-56.2024.4.01.3845,41364.22,UF_1,ES
2025-12-07,1259497-38.2024.4.01.3814,7874.24,UF_1,CE
2025-12-30,2715453-16.2020.4.01.3469,41550.0,UF_1,AC
2025-12-25,4674010-68.2025.4.01.3541,33884.94,UF_1,PI
2025-12-06,5617790-32.2022.4.01.3157,13204.22,UF_1,MG
2026-01-14,9903392-94.2023.4.01.3028,53214.81,UF_1,PI
2026-01-17,8723547-33.2025.4.01.3547,19349.26,UF_1,RS
2026-01-26,9773392-17.2020.4.01.3775,37897.49,UF_1,PA
2025-12-17,5693773-70.2022.4.01.3400,22154.17,UF_1,MA
2025-12-13,6427248-41.2022.4.01.3535,29517.1,UF_1,DF
2025-12-03,1479632-30.2022.4.01.3618,38563.5,UF_1,BA
2025-12-05,6526813-17.2020.4.01.3321,17078.93,UF_1,PI
2025-11-30,7192414-54.2025.4.01.3955,29893.76,UF_1,RN
2026-01-26,9210023-61.2020.4.01.3862,36154.75,UF_1,MA
2026-01-06,9277914-84.2021.4.01.3249,52194.23,UF_1,DF
2026-01-24,2455265-66.2021.4.01.3090,31371.15,UF_1,MS
2025-12-21,2794378-27.2021.4.01.3268,13294.64,UF_1,SE
2025-12-05,9772754-81.2021.4.01.3516,15195.95,UF_1,MA
2026-01-16,4775665-67.2023.4.01.3444,34144.25,UF_1,PB
2025-12-12,4676904-14.2024.4.01.3861,41160.49,UF_1,"SE"
2026-01-09,1499886-91.2025.4.01.3717,6019.08,UF_1,GO
2025-11-29,7163038-64.2022.4.01.3903,34926.38,UF_1,CE
2025-12-04,8053530-64.2022.4.01.3043,30415.77,UF_1,MG
2025-12-09,7508550-63.2023.4.01.3300,41675.01,UF_1,PA
2025-12-21,5600186-17.2021.4.01.3295,18100.9,UF_1,SP
2026-01-17,5583808-72.2021.4.01.3267,18388.91,UF_1,RJ
2026-01-03,9790416-35.2023.4.01.3662,19558.51,UF_1,PI
2025-12-24,1193845-11.2025.4.01.3398,20881.34,UF_1,RS
2026-01-27,4001996-11.2025.4.01.3469,32546.07,UF_1,PE
2026-01-11,3202087-18.2023.4.01.3295,14932.67,UF_1,RJ
2025-12-10,5900703-51.2024.4.01.3867,41036.18,UF_1,AC
2025-12-03,7174736-32.2023.4.01.3321,22242.08,UF_1,BA
2026-01-23,2752983-69.2021.4.01.3085,29477.25,UF_1,"RJ"
2026-01-07,7020876-85.2021.4.01.3666,40677.9,UF_1,MA
2026-01-25,5587198-20.2024.4.01.3584,35339.18,UF_1,SE
2025-12-14,3384448-64.2020.4.01.3609,12334.31,UF_1,AC
2026-01-08,9720991-48.2023.4.01.3143,7729.6,UF_1,MG
2026-01-07,6891696-82.2025.4.01.3085,7043.05,UF_1,"CE"
2026-01-17,4413233-19.2021.4.01.3659,4196.84,UF_1,SE
2026-01-02,4967448-94.2020.4.01.3489,13353.18,UF_1,"DF"
2025-12-12,9238636-75.2021.4.01.3450,7586.53,UF_1,PI
2025-12-12,9177076-16.2021.4.01.3049,32863.92,UF_1,AM
2025-11-30,9298514-90.2023.4.01.3683,36623.2,UF_1,"MT"
2025-12-28,5575655-72.2022.4.01.3370,18495.73,UF_1,MG
2026-01-15,1608762-86.2025.4.01.3845,4740.5,UF_1,SC
2026-01-20,4903815-29.2024.4.01.3608,36194.64,UF_1,ES
2026-01-04,2341473-25.2025.4.01.3767,29615.86,UF_1,RJ
2025-12-04,6783525-50.2023.4.01.3951,46556.88,UF_1,MS
2025-12-25,7856345-96.2021.4.01.3789,27429.27,UF_1,MT
2025-12-10,2696563-90.2023.4.01.3917,19737.6,UF_1,DF
2026-01-20,3451792-28.2024.4.01.3380,47297.11,UF_1,RJ
2026-01-13,7977857-58.2023.4.01.3492,54909.53,UF_1,TO
2025-12-16,8539078-16.2022.4.01.3327,4646.69,UF_1,AC
2026-01-17,1946482-99.2020.4.01.3711,11214.72,UF_1,ES
2026-01-03,6259858-58.2024.4.01.3082,39719.77,UF_1,BA
2025-12-02,3410919-67.2023.4.01.3872,29478.53,UF_1,RN
2025-12-27,8256311-89.2023.4.01.3185,14370.34,UF_1,RS
2025-12-13,2772512-23.2020.4.01.3571,9525.04,UF_1,AP
2025-12-18,3563092-43.2025.4.01.3719,40879.09,UF_1,SE
2025-12-13,7193304-66.2023.4.01.3954,32574.33,UF_1,PB
2026-01-04,9504687-71.2020.4.01.3243,7060.81,UF_1,PR
2026-01-09,3224633-21.2020.4.01.3808,8202.82,UF_1,PR
2025-12-05,6189337-30.2024.4.01.3174,35244.41,UF_1,MG
2025-12-19,1882083-87.2021.4.01.3844,23480.1,UF_1,MT
2026-01-21,6273516-32.2022.4.01.3294,21491.83,UF_1,AP
2025-12-12,9428953-32.2023.4.01.3391,33692.95,UF_1,TO
2025-11-30,8310343-16.2025.4.01.3950,41491.62,UF_1,AM
2025-12-17,8422384-65.2024.4.01.3247,5285.94,UF_1,DF
2026-01-13,6706869-90.2023.4.01.3292,48262.56,UF_1,SP
2025-12-12,1611702-40.2022.4.01.3556,11891.74,UF_1,PI
2025-12-01,9132928-43.2023.4.01.3229,16840.84,UF_1,TO
2026-01-05,7163963-85.2020.4.01.3640,49658.99,UF_1,GO
2025-12-06,6874962-65.2025.4.01.3566,18455.73,UF_1,AP
2025-12-20,6915445-97.2025.4.01.3155,12763.72,UF_1,PI
2026-01-21,6418257-35.2020.4.01.3463,42417.18,UF_1,MA
2026-01-01,4525540-82.2023.4.01.3832,49325.86,UF_1,SP
2025-12-24,3557382-99.2024.4.01.3354,37431.16,UF_1,SP
2026-01-20,5009458-15.2021.4.01.3825,22940.52,UF_1,BA
2025-12-16,6982049-87.2022.4.01.3036,25778.39,UF_1,DF
2026-01-21,1917004-12.2024.4.01.3704,46802.2,UF_1,PB
2025-12-01,2569857-84.2025.4.01.3439,8687.04,UF_1,AP
2025-12-27,8558070-85.2025.4.01.3338,7412.9,UF_1,AC
2025-12-05,6548215-95.2023.4.01.3304,16929.5,UF_1,DF
2025-12-01,3555925-70.2020.4.01.3893,42757.21,UF_1,PI
2026-01-21,1418092-39.2022.4.01.3043,40118.72,UF_1,BA
2026-01-10,2681430-28.2020.4.01.3462,27175.85,UF_1,PA
2026-01-07,8869314-18.2021.4.01.3532,18053.57,UF_1,RR
2025-12-25,3011349-74.2023.4.01.3534,24030.74,UF_1,SC
2025-12-02,5036285-31.2023.4.01.3045,6401.59,UF_1,PB
2025-12-11,3834540-96.2020.4.01.3904,28953.33,UF_1,PE
2025-12-01,8264853-54.2024.4.01.3581,47813.77,UF_1,PI
2025-12-11,5382393-93.2024.4.01.3468,11019.26,UF_1,RS
2026-01-11,3712615-10.2025.4.01.3740,11174.35,UF_1,BA
2025-12-06,9435234-43.2024.4.01.3848,39549.06,UF_1,GO
2025-12-23,8933943-62.2025.4.01.3748,4609.75,UF_1,PB
2025-11-30,7775996-83.2021.4.01.3114,16190.36,UF_1,AC
2025-12-24,8021814-72.2020.4.01.3253,3639.41,UF_1,PA
2026-01-11,6680852-52.2020.4.01.3012,42086.93,UF_1,RN
2025-12-06,4015903-67.2023.4.01.3051,29423.59,UF_1,SP
2026-01-22,3975617-16.2021.4.01.3883,21304.22,UF_1,PE
2025-12-15,4875665-18.2024.4.01.3816,18223.58,UF_1,PE
2026-01-17,6215874-40.2021.4.01.3708,18296.23,UF_1,DF
2026-01-22,9893634-17.2024.4.01.3432,49904.53,UF_1,PR
2026-01-17,4005447-50.2024.4.01.3455,29337.84,UF_1,AC
2026-01-16,3541970-19.2020.4.01.3627,28235.52,UF_1,TO
2026-01-04,7391212-72.2025.4.01.3715,40898.14,UF_1,SC
2026-01-10,8588513-97.2020.4.01.3048,47481.86,UF_1,AC
2025-12-10,1742082-35.2022.4.01.3007,11805.47,UF_1,PE
2026-01-21,1296931-75.2023.4.01.3129,47157.85,UF_1,AL
2025-12-20,7558323-24.2025.4.01.3794,10680.53,UF_1,PI
2025-12-20,2472270-65.2025.4.01.3328,6667.11,UF_1,MS
2026-01-21,5678707-21.2023.4.01.3202,39342.49,UF_1,AC
2026-01-09,2010313-53.2021.4.01.3647,2552.13,UF_1,TO
2025-12-07,5109584-30.2021.4.01.3718,4410.89,UF_1,DF
2025-12-07,3994255-48.2024.4.01.3212,4010.77,UF_1,PE
2025-12-01,9659227-74.2024.4.01.3307,44747.28,UF_2,RR
2025-12-23,4461636-62.2022.4.01.3568,33911.9,UF_2,AP
2026-01-12,8350600-66.2025.4.01.3693,44750.92,UF_2,DF
2025-12-18,7108248-39.2022.4.01.3191,22285.6,UF_2,RJ
2025-12-09,9337261-13.2020.4.01.3529,47635.86,UF_2,PA
2025-12-23,7319199-83.2024.4.01.3951,48748.31,UF_2,MA
2025-12-07,2648090-25.2022.4.01.3708,34883.55,UF_2,MG
2026-01-11,9918190-76.2021.4.01.3245,1024.93,UF_2,ES
2025-12-05,6643427-55.2021.4.01.3913,39848.46,UF_2,AP
2025-12-02,4217117-89.2022.4.01.3134,5103.01,UF_2,PB
2026-01-18,1169198-66.2023.4.01.3401,33763.65,UF_2,RO
2025-12-28,9862589-35.2022.4.01.3135,13429.89,UF_2,PI
2026-01-08,8277778-77.2022.4.01.3172,18073.68,UF_2,SE
2026-01-26,9462966-48.2020.4.01.3957,35392.79,UF_2,PR
2026-01-07,3149892-31.2023.4.01.3140,4923.48,UF_2,AL
2026-01-20,1249489-86.2024.4.01.3468,15676.85,UF_2,PB
2026-01-26,4037948-75.2024.4.01.3906,34706.53,UF_2,PR
2026-01-25,8803562-10.2023.4.01.3776,14354.18,UF_2,TO
2025-12-14,2960079-77.2023.4.01.3424,31849.39,UF_2,MG
2025-12-27,5543734-62.2024.4.01.3176,4302.65,UF_2,AL
2025-12-21,2060921-92.2022.4.01.3428,2253.9,UF_2,DF
2025-12-06,2845494-47.2025.4.01.3323,19798.7,UF_2,SE
2026-01-06,3810550-87.2020.4.01.3214,12541.32,UF_2,MT
2026-01-16,6954395-65.2020.4.01.3366,1145.11,UF_2,SC
2026-01-26,4211438-61.2024.4.01.3214,32312.47,UF_2,SC
2026-01-04,4517243-91.2024.4.01.3774,22379.43,UF_2,BA
2025-12-31,9842492-70.2021.4.01.3651,12515.25,UF_2,MG
2026-01-14,8607894-96.2022.4.01.3631,18852.82,UF_2,SC
2026-01-12,8492033-92.2024.4.01.3344,44018.66,UF_2,PI
2025-12-04,8215475-47.2022.4.01.3939,22477.94,UF_2,DF
2026-01-05,7231235-49.2025.4.01.3960,41539.17,UF_2,PI
2025-12-25,6062564-83.2023.4.01.3162,15984.49,UF_2,RJ
2025-12-01,1491022-61.2021.4.01.3596,6562.21,UF_2,PB
2025-12-30,3484187-44.2022.4.01.3710,44539.32,UF_2,PI
2025-12-21,3798745-42.2023.4.01.3499,31079.06,UF_2,RJ
2026-01-02,9349282-24.2022.4.01.3499,17428.34,UF_2,ES
2025-12-12,4676904-14.2024.4.01.3861,41160.49,UF_2,AP
2026-01-23,2752983-69.2021.4.01.3085,29477.25,UF_2,MA
2026-01-07,6891696-82.2025.4.01.3085,7043.05,UF_2,BA
2026-01-02,4967448-94.2020.4.01.3489,13353.18,UF_2,RR
2025-11-30,9298514-90.2023.4.01.3683,36623.2,UF_2,AL
